model_name,model_frequency,exceedance_prob,protected_exceedance_prob
io_fixed_freq,0.0046314066094571,0,2.92726686624169e-05
io_fixed_trans,0.00463072604755727,0,2.92726686624169e-05
io_jump_freq,0.563353261482881,0.92378,0.923647023633521
io_jump_trans,0.339934048696455,0.07622,0.0762358856918297
random,0.0484338412206019,0,2.92726686624169e-05
rw,0.0390167159430469,0,2.92726686624169e-05
